=== Agent started === logPath=/workspace/testbed/results/data/ga_seed2/_work/ga_gen_003/N100_PPM120/topo10/seed1/re-bdi-qo-hc__0001111/agent.log
AGENT_SEED=12345
1774919208067 INIT Agent: K=4 Factive=4
1774919208078 EPS sched: start=0.3 end=0.01 anneal=500
1774919227735 DECISION phase=2 mote=5 eps=0.299 cand=[1] valid=[true, false, false, false]
  cand[0] id=1 features=[2000.0, 0.0, 0.0, 0.0] hc=0.00 re=2000.0 qlr=0.000
  qValues=[0.023088338202796876, 0.0151701484574005, 0.018571624881587923, 0.001436870894394815]  action=0  chosenParent=1
1774919254856 DECISION phase=3 mote=5 eps=0.298 cand=[1] valid=[true, false, false, false]
  cand[0] id=1 features=[2000.0, 0.0, 0.0, 0.0] hc=0.00 re=2000.0 qlr=0.000
  qValues=[0.0457472731359303, 0.03044532984495163, 0.03242393862456083, 0.012516592163592577]  action=0  chosenParent=1
1774919282315 DECISION phase=4 mote=5 eps=0.298 cand=[1] valid=[true, false, false, false]
  cand[0] id=1 features=[2000.0, 0.0, 0.0, 0.0] hc=0.00 re=2000.0 qlr=0.000
  qValues=[0.06714638322591782, 0.04628169070929289, 0.04550551623106003, 0.021879677660763264]  action=0  chosenParent=1
1774919311003 DECISION phase=5 mote=5 eps=0.297 cand=[1] valid=[true, false, false, false]
  cand[0] id=1 features=[2000.0, 0.0, 0.0, 0.0] hc=0.00 re=2000.0 qlr=0.000
  qValues=[0.08736178372055292, 0.06082749832421541, 0.05722906719893217, 0.029443501494824886]  action=0  chosenParent=1
1774919341419 DECISION phase=6 mote=5 eps=0.297 cand=[1] valid=[true, false, false, false]
  cand[0] id=1 features=[2000.0, 0.0, 0.0, 0.0] hc=0.00 re=2000.0 qlr=0.000
  qValues=[0.10910637071356177, 0.07629148801788688, 0.07026956742629409, 0.03745984239503741]  action=0  chosenParent=1
1774919371865 DECISION phase=7 mote=5 eps=0.296 cand=[1] valid=[true, false, false, false]
  cand[0] id=1 features=[2000.0, 0.0, 0.0, 0.0] hc=0.00 re=2000.0 qlr=0.000
  qValues=[0.13252122374251485, 0.09325512358918786, 0.08434807369485497, 0.04613915691152215]  action=0  chosenParent=1
1774919400142 DECISION phase=8 mote=5 eps=0.295 cand=[1] valid=[true, false, false, false]
  cand[0] id=1 features=[2000.0, 0.0, 0.0, 0.0] hc=0.00 re=2000.0 qlr=0.000
  qValues=[0.15805096086114645, 0.11176216136664152, 0.09975653607398272, 0.055675686337053776]  action=0  chosenParent=1
1774919427810 DECISION phase=9 mote=5 eps=0.295 cand=[17] valid=[true, false, false, false]
  cand[0] id=17 features=[1804.8122465074819, 0.09759387674625908, 8.0, 1.0] hc=1.00 re=1804.8 qlr=0.676
