id,x,y,is_sink
1,150.00,0.00,1
2,182.00,192.01,0
3,299.40,248.21,0
4,215.93,84.81,0
5,244.19,239.03,0
6,261.59,162.20,0
7,229.25,52.73,0
8,293.24,174.69,0
9,108.09,264.20,0
10,208.77,73.00,0
11,79.30,56.91,0
12,264.32,105.99,0
13,210.14,107.89,0
14,224.88,74.66,0
15,216.36,243.56,0
16,71.85,77.85,0
17,265.61,92.91,0
18,14.32,135.21,0
19,109.26,257.85,0
20,130.46,138.10,0
21,123.42,84.49,0
22,182.60,109.70,0
23,226.91,57.44,0
24,176.59,205.15,0
25,55.53,283.78,0
26,115.89,112.26,0
27,143.76,23.12,0
28,160.88,44.97,0
29,131.74,2.16,0
30,229.72,226.02,0
31,254.19,79.52,0
32,8.21,22.23,0
33,212.87,135.29,0
34,248.90,295.89,0
35,161.84,182.24,0
36,157.37,208.60,0
37,123.42,93.98,0
38,191.18,185.44,0
39,136.79,72.11,0
40,220.14,216.64,0
41,148.33,252.29,0
42,247.39,104.37,0
43,99.69,260.85,0
44,88.06,185.98,0
45,124.12,202.64,0
46,297.42,284.74,0
47,53.86,132.88,0
48,61.17,220.41,0
49,124.74,24.29,0
50,112.62,264.75,0
51,163.78,109.17,0
52,68.78,10.39,0
53,235.91,70.89,0
54,203.71,217.04,0
55,19.93,35.93,0
56,76.17,41.91,0
57,211.15,287.68,0
58,231.08,227.48,0
59,53.28,199.19,0
60,2.20,205.05,0
61,178.51,283.07,0
62,204.46,180.42,0
63,236.11,60.96,0
64,264.45,205.87,0
65,137.42,156.83,0
66,298.73,15.38,0
67,159.43,89.65,0
68,275.22,15.88,0
69,291.11,283.36,0
70,198.38,93.75,0
71,195.18,188.04,0
72,197.23,40.95,0
73,181.28,251.60,0
74,220.71,288.45,0
75,86.59,290.15,0
76,181.95,128.71,0
77,18.25,157.30,0
78,163.86,223.78,0
79,36.55,87.94,0
80,254.46,228.62,0
81,90.19,17.79,0
82,62.45,75.61,0
83,106.65,161.44,0
84,71.35,270.77,0
85,90.68,35.97,0
86,123.27,246.19,0
87,194.97,140.32,0
88,194.91,278.24,0
89,270.20,12.15,0
90,101.13,93.63,0
91,143.66,227.25,0
92,131.48,172.20,0
93,228.60,17.32,0
94,130.07,228.56,0
95,7.83,150.35,0
96,202.54,230.86,0
97,144.57,88.07,0
98,225.22,257.84,0
99,113.20,209.76,0
100,100.72,28.82,0
