id,x,y,is_sink
1,150.00,0.00,1
2,165.31,83.12,0
3,98.70,107.63,0
4,133.38,213.21,0
5,190.40,66.14,0
6,7.35,124.54,0
7,253.51,114.60,0
8,187.21,221.88,0
9,295.17,56.55,0
10,105.66,224.10,0
11,217.88,172.98,0
12,105.92,247.24,0
13,46.58,24.24,0
14,33.54,14.33,0
15,77.53,196.72,0
16,81.57,109.48,0
17,240.49,90.55,0
18,110.61,83.67,0
19,32.82,237.00,0
20,257.90,64.20,0
21,280.31,196.38,0
22,77.27,216.05,0
23,126.10,135.20,0
24,284.22,158.88,0
25,2.20,97.89,0
26,85.53,278.50,0
27,8.83,292.75,0
28,209.71,9.51,0
29,297.18,104.49,0
30,36.78,264.75,0
31,240.54,136.25,0
32,179.96,262.27,0
33,50.83,183.71,0
34,152.02,3.07,0
35,16.63,264.95,0
36,91.56,290.33,0
37,96.48,79.16,0
38,204.02,15.40,0
39,128.70,241.41,0
40,163.05,216.15,0
41,214.66,89.14,0
42,162.72,236.91,0
43,128.99,41.74,0
44,258.52,119.44,0
45,123.85,23.19,0
46,32.08,295.63,0
47,125.29,278.51,0
48,239.80,274.06,0
49,267.19,165.65,0
50,8.30,105.82,0
51,183.71,160.24,0
52,77.53,176.99,0
53,288.05,32.04,0
54,173.60,145.68,0
55,264.77,50.96,0
56,271.19,4.30,0
57,137.20,269.94,0
58,236.64,101.84,0
59,172.35,2.86,0
60,8.12,86.29,0
61,11.50,149.70,0
62,47.23,126.20,0
63,85.89,230.24,0
64,20.19,0.14,0
65,236.70,239.60,0
66,91.28,219.72,0
67,189.96,20.87,0
68,140.24,185.51,0
69,92.45,11.49,0
70,111.26,66.35,0
71,46.53,131.06,0
72,169.29,146.88,0
73,165.20,115.44,0
74,176.10,261.32,0
75,200.45,53.00,0
76,68.57,290.49,0
77,243.69,298.91,0
78,278.29,36.72,0
79,77.97,253.42,0
80,226.80,147.11,0
81,154.32,17.89,0
82,239.98,201.42,0
83,157.00,233.89,0
84,227.46,296.36,0
85,158.27,213.63,0
86,154.00,276.71,0
87,108.87,236.92,0
88,231.46,122.19,0
89,107.71,167.01,0
90,118.80,23.30,0
91,122.64,55.60,0
92,33.14,137.25,0
93,159.11,36.72,0
94,183.88,88.78,0
95,139.67,159.92,0
96,26.71,191.59,0
97,257.12,118.42,0
98,60.17,130.00,0
99,35.45,133.00,0
100,108.78,192.82,0
