id,x,y,is_sink
1,150.00,0.00,1
2,240.02,159.74,0
3,135.55,82.40,0
4,112.45,220.09,0
5,12.44,153.61,0
6,96.53,231.80,0
7,144.76,23.36,0
8,94.50,283.34,0
9,132.30,275.44,0
10,189.93,134.27,0
11,39.05,200.62,0
12,182.24,17.82,0
13,291.66,190.87,0
14,180.25,213.49,0
15,60.97,181.87,0
16,60.34,140.21,0
17,133.80,255.54,0
18,41.12,163.86,0
19,111.45,148.03,0
20,61.02,103.99,0
21,275.34,263.84,0
22,236.85,58.28,0
23,48.33,250.77,0
24,145.46,125.46,0
25,189.97,50.67,0
26,205.70,78.89,0
27,161.95,131.55,0
28,18.56,1.51,0
29,256.38,47.02,0
30,281.01,76.34,0
31,252.61,152.31,0
32,263.55,213.20,0
33,53.75,125.19,0
34,273.52,8.45,0
35,273.51,22.98,0
36,285.53,103.00,0
37,165.99,85.22,0
38,4.97,291.46,0
39,228.20,89.05,0
40,206.79,144.89,0
41,213.17,106.34,0
42,289.80,109.50,0
43,75.96,227.91,0
44,251.19,40.63,0
45,244.31,265.25,0
46,43.55,252.29,0
47,254.60,62.12,0
48,160.67,54.82,0
49,53.13,238.49,0
50,115.63,274.55,0
51,284.82,63.61,0
52,266.49,45.44,0
53,274.12,276.54,0
54,117.47,285.22,0
55,109.16,4.67,0
56,233.90,218.30,0
57,179.86,135.78,0
58,191.46,36.61,0
59,255.59,108.87,0
60,200.50,112.10,0
61,169.67,281.87,0
62,222.96,99.87,0
63,150.83,248.73,0
64,221.75,222.07,0
65,69.46,58.12,0
66,223.10,24.58,0
67,90.07,21.45,0
68,0.08,48.20,0
69,133.62,250.02,0
70,287.92,188.09,0
71,173.42,13.59,0
72,204.21,212.07,0
73,185.84,220.64,0
74,75.34,54.19,0
75,122.42,207.57,0
76,0.18,140.55,0
77,140.53,195.35,0
78,43.32,299.96,0
79,195.96,41.02,0
80,88.72,162.48,0
81,243.32,247.00,0
82,165.69,85.32,0
83,183.47,178.15,0
84,241.30,165.76,0
85,206.52,240.55,0
86,25.21,214.20,0
87,255.13,142.98,0
88,8.10,157.33,0
89,63.50,99.26,0
90,135.63,142.74,0
91,176.15,45.77,0
92,227.42,152.63,0
93,166.11,291.88,0
94,219.44,156.83,0
95,133.98,34.04,0
96,176.53,20.64,0
97,281.06,58.06,0
98,236.34,119.52,0
99,210.85,189.36,0
100,165.11,68.68,0
