id,x,y,is_sink
1,150.00,0.00,1
2,240.02,159.74,0
3,135.55,82.40,0
4,112.45,220.09,0
5,12.44,153.61,0
6,96.53,231.80,0
7,144.76,23.36,0
8,94.50,283.34,0
9,132.30,275.44,0
10,189.93,134.27,0
11,39.05,200.62,0
12,182.24,17.82,0
13,291.66,190.87,0
14,180.25,213.49,0
15,60.97,181.87,0
16,60.34,140.21,0
17,133.80,255.54,0
18,41.12,163.86,0
19,111.45,148.03,0
20,61.02,103.99,0
21,275.34,263.84,0
22,236.85,58.28,0
23,48.33,250.77,0
24,145.46,125.46,0
25,189.97,50.67,0
26,205.70,78.89,0
27,161.95,131.55,0
28,18.56,1.51,0
29,256.38,47.02,0
30,281.01,76.34,0
31,252.61,152.31,0
32,263.55,213.20,0
33,53.75,125.19,0
34,273.52,8.45,0
35,273.51,22.98,0
36,285.53,103.00,0
37,165.99,85.22,0
38,4.97,291.46,0
39,228.20,89.05,0
40,206.79,144.89,0
41,213.17,106.34,0
42,289.80,109.50,0
43,75.96,227.91,0
44,251.19,40.63,0
45,244.31,265.25,0
46,43.55,252.29,0
47,254.60,62.12,0
48,160.67,54.82,0
49,53.13,238.49,0
50,115.63,274.55,0
51,284.82,63.61,0
52,266.49,45.44,0
53,274.12,276.54,0
54,117.47,285.22,0
55,109.16,4.67,0
56,233.90,218.30,0
57,179.86,135.78,0
58,191.46,36.61,0
59,255.59,108.87,0
60,200.50,112.10,0
