id,x,y,is_sink
1,150.00,0.00,1
2,262.00,1.48,0
3,50.16,119.26,0
4,134.11,78.65,0
5,45.65,175.96,0
6,2.31,282.36,0
7,290.41,297.60,0
8,293.77,36.62,0
9,219.53,183.01,0
10,131.39,155.93,0
11,278.82,54.41,0
12,20.30,226.35,0
13,28.24,285.95,0
14,21.47,127.84,0
15,83.19,223.86,0
16,191.59,203.92,0
17,118.65,219.69,0
18,24.79,225.35,0
19,192.59,122.94,0
20,237.25,7.87,0
21,43.84,250.96,0
22,113.24,27.26,0
23,181.10,270.34,0
24,96.49,27.62,0
25,220.86,222.74,0
26,49.27,103.18,0
27,73.24,180.52,0
28,274.18,71.96,0
29,151.56,262.80,0
30,192.58,74.85,0
31,166.50,143.43,0
32,5.64,160.07,0
33,1.73,207.88,0
34,73.58,165.85,0
35,66.13,166.47,0
36,12.39,200.81,0
37,104.35,157.18,0
38,256.12,81.31,0
39,154.76,150.10,0
40,70.65,267.92,0
41,178.68,182.64,0
42,4.81,48.31,0
43,213.62,261.74,0
44,94.64,273.30,0
45,78.67,158.27,0
46,273.14,101.48,0
47,180.46,81.77,0
48,10.89,286.64,0
49,283.46,200.17,0
50,53.12,189.69,0
51,211.68,239.54,0
52,239.65,100.71,0
53,143.98,100.32,0
54,30.27,132.72,0
55,4.77,116.51,0
56,49.71,29.02,0
57,227.14,268.07,0
58,290.99,138.49,0
59,66.52,15.07,0
60,50.72,3.04,0
