=== Agent started === logPath=/workspace/testbed/_work/N100_PPM80/topo01/seed1/etx_re_qo_hc/agent.log
AGENT_SEED=12345
1773349580012 INIT Agent: K=4 Factive=4
1773349580023 EPS sched: start=0.3 end=0.01 anneal=500
1773349623727 DECISION phase=3 mote=5 eps=0.298 cand=[50] valid=[true, false, false, false]
  cand[0] id=50 features=[7.48, 1982.8005786797735, 5.0, 1.0] hc=1.00 re=1982.8 qlr=0.000
  qValues=[0.06583145773038268, 0.045491478871554136, 0.051948807667940855, 0.00546580133959651]  action=0  chosenParent=50
1773349652771 DECISION phase=4 mote=5 eps=0.298 cand=[73] valid=[true, false, false, false]
  cand[0] id=73 features=[6.2, 1993.9682498108536, 4.0, 1.0] hc=1.00 re=1994.0 qlr=0.000
  qValues=[0.0920651638880372, 0.06538708508014679, 0.06740791350603104, 0.021611659787595272]  action=0  chosenParent=73
1773349683567 DECISION phase=5 mote=5 eps=0.297 cand=[73] valid=[true, false, false, false]
  cand[0] id=73 features=[6.27, 1962.7973775339217, 5.0, 2.0] hc=2.00 re=1962.8 qlr=0.069
  qValues=[0.12427442939952016, 0.09034160757437348, 0.08759724767878652, 0.03535884292796254]  action=0  chosenParent=73
1773349716459 DECISION phase=6 mote=5 eps=0.297 cand=[60] valid=[true, false, false, false]
  cand[0] id=60 features=[9.85, 1976.0696184264532, 7.0, 2.0] hc=2.00 re=1976.1 qlr=0.167
  qValues=[0.17117178300395608, 0.1266838856972754, 0.11877185152843595, 0.051401174161583185]  action=0  chosenParent=60
1773349750474 DECISION phase=7 mote=5 eps=0.296 cand=[11] valid=[true, false, false, false]
  cand[0] id=11 features=[9.8, 1904.4659697214624, 6.0, 3.0] hc=3.00 re=1904.5 qlr=0.029
  qValues=[0.1961095887236297, 0.1472972328774631, 0.13272337755188346, 0.06272910861298442]  action=0  chosenParent=11
1773349781078 DECISION phase=8 mote=5 eps=0.295 cand=[16, 11] valid=[true, true, false, false]
  cand[0] id=16 features=[9.3, 1757.072825277018, 8.0, 3.0] hc=3.00 re=1757.1 qlr=0.330
  cand[1] id=11 features=[9.98, 1870.1878706757814, 8.0, 1.0] hc=1.00 re=1870.2 qlr=0.377
  qValues=[0.3457434894517064, 0.26092442590743303, 0.2379609877243638, 0.10786905605345964]  action=0  chosenParent=16
1773349810443 DECISION phase=9 mote=5 eps=0.295 cand=[16, 11] valid=[true, true, false, false]
  cand[0] id=16 features=[9.06, 1730.3965834301857, 4.0, 2.0] hc=2.00 re=1730.4 qlr=0.295
  cand[1] id=11 features=[9.98, 1848.3097075000424, 7.0, 1.0] hc=1.00 re=1848.3 qlr=0.446
  qValues=[0.3750845920294523, 0.2839999031275511, 0.2563974317163229, 0.12305009178817272]  action=0  chosenParent=16
1773349844709 DECISION phase=10 mote=5 eps=0.294 cand=[16, 11] valid=[true, true, false, false]
  cand[0] id=16 features=[7.77, 1675.563296439897, 3.0, 3.0] hc=3.00 re=1675.6 qlr=0.283
  cand[1] id=11 features=[9.98, 1823.0807778054955, 8.0, 1.0] hc=1.00 re=1823.1 qlr=0.470
  qValues=[0.4330728566274047, 0.32725901063531637, 0.295363481156528, 0.14527422841638327]  action=0  chosenParent=16
1773349947031 DECISION phase=13 mote=5 eps=0.292 cand=[3] valid=[true, false, false, false]
  cand[0] id=3 features=[12.61, 1862.3409089331194, 5.0, 4.0] hc=4.00 re=1862.3 qlr=0.299
  qValues=[0.43741015531122684, 0.32776949740946293, 0.2905410919338465, 0.1558654922991991]  action=0  chosenParent=3
1773349982389 DECISION phase=14 mote=5 eps=0.292 cand=[3] valid=[true, false, false, false]
  cand[0] id=3 features=[15.15, 1862.0779580695942, 7.0, 4.0] hc=4.00 re=1862.1 qlr=0.255
  qValues=[0.511822609230876, 0.38334779255092144, 0.33954653702676296, 0.18239672295749187]  action=0  chosenParent=3
1773350018149 DECISION phase=15 mote=5 eps=0.291 cand=[9, 11, 16, 3] valid=[true, true, true, true]
  cand[0] id=9 features=[7.59, 1618.2360106535639, 8.0, 2.0] hc=2.00 re=1618.2 qlr=0.608
