=== Agent started === logPath=/workspace/testbed/results/data/ga_seed2/_work/ga_gen_003/N100_PPM120/topo07/seed1/rssi-pfi-re-hc__0111001/agent.log
AGENT_SEED=12345
1774920431187 INIT Agent: K=4 Factive=4
1774920431202 EPS sched: start=0.3 end=0.01 anneal=500
1774920506444 DECISION phase=4 mote=5 eps=0.298 cand=[75] valid=[true, false, false, false]
  cand[0] id=75 features=[3.4285714285714284, 1.0, 1962.1127395063406, 2.0] hc=2.00 re=1962.1 qlr=0.375
  qValues=[0.0972886304371059, 0.0698702740482986, 0.0721582449041307, 0.021524130832403898]  action=0  chosenParent=75
1774920535513 DECISION phase=5 mote=5 eps=0.297 cand=[75] valid=[true, false, false, false]
  cand[0] id=75 features=[3.4285714285714284, 1.0, 1893.3103696451362, 1.0] hc=1.00 re=1893.3 qlr=0.346
  qValues=[0.1264194524846971, 0.09229822969064116, 0.08976695640012622, 0.037309115286916494]  action=0  chosenParent=75
1774920591211 DECISION phase=7 mote=5 eps=0.296 cand=[35] valid=[true, false, false, false]
  cand[0] id=35 features=[1.4285714285714286, 0.0, 1924.767771216405, 2.0] hc=2.00 re=1924.8 qlr=0.239
  qValues=[0.1460035089403391, 0.11029059067368507, 0.09585792943835258, 0.05417030118405819]  action=0  chosenParent=35
1774920622718 DECISION phase=8 mote=5 eps=0.295 cand=[35] valid=[true, false, false, false]
  cand[0] id=35 features=[1.4285714285714286, 1.0, 1883.4940702173064, 1.0] hc=1.00 re=1883.5 qlr=0.494
  qValues=[0.2149857571348548, 0.1621249271556735, 0.14427014347165823, 0.07654435839504004]  action=0  chosenParent=35
1774920651867 DECISION phase=9 mote=5 eps=0.295 cand=[35] valid=[true, false, false, false]
  cand[0] id=35 features=[1.4285714285714286, 1.0, 1828.9798296399767, 2.0] hc=2.00 re=1829.0 qlr=0.522
  qValues=[0.24864167487248778, 0.1880245297215879, 0.1666303756646812, 0.0901805735193193]  action=0  chosenParent=35
1774920680323 DECISION phase=10 mote=5 eps=0.294 cand=[98] valid=[true, false, false, false]
  cand[0] id=98 features=[3.2857142857142856, 0.0, 1875.1244539424786, 2.0] hc=2.00 re=1875.1 qlr=0.304
  qValues=[0.2376123289577663, 0.18074748618528247, 0.1567982523702085, 0.09027867717668414]  action=0  chosenParent=98
1774920707040 DECISION phase=11 mote=5 eps=0.294 cand=[58] valid=[true, false, false, false]
  cand[0] id=58 features=[1.0, 0.0, 1728.7297068097334, 2.0] hc=2.00 re=1728.7 qlr=0.540
