id,x,y,is_sink
1,150.00,0.00,1
2,76.96,86.42,0
3,163.09,100.32,0
4,265.13,131.58,0
5,54.09,299.54,0
6,161.22,289.97,0
7,194.85,223.22,0
8,36.37,94.98,0
9,97.35,190.96,0
10,90.00,36.78,0
11,267.80,106.37,0
12,291.02,159.91,0
13,251.59,125.78,0
14,222.54,68.61,0
15,251.45,102.64,0
16,109.00,190.25,0
17,20.69,151.92,0
18,226.49,8.14,0
19,171.44,85.96,0
20,200.32,187.70,0
21,292.33,162.82,0
22,82.06,216.24,0
23,148.38,292.09,0
24,296.89,14.79,0
25,156.38,140.15,0
26,145.41,104.37,0
27,129.33,18.11,0
28,97.84,9.11,0
29,245.43,282.25,0
30,282.37,205.62,0
31,2.39,140.16,0
32,210.41,176.16,0
33,157.48,62.83,0
34,114.03,27.85,0
35,14.03,162.53,0
36,172.50,288.67,0
37,148.55,155.80,0
38,266.51,32.53,0
39,255.88,232.54,0
40,189.94,249.02,0
41,100.03,188.12,0
42,113.70,152.85,0
43,62.82,4.42,0
44,6.42,49.99,0
45,174.33,13.86,0
46,219.24,107.18,0
47,175.38,197.37,0
48,112.92,174.48,0
49,250.27,55.54,0
50,56.60,35.23,0
51,234.92,297.80,0
52,150.60,277.53,0
53,58.89,268.02,0
54,42.65,55.63,0
55,82.16,245.06,0
56,193.58,195.16,0
57,13.67,2.79,0
58,40.83,153.61,0
59,143.91,30.14,0
60,210.62,293.03,0
61,81.09,100.05,0
62,127.19,133.44,0
63,183.10,54.90,0
64,156.82,275.75,0
65,280.30,163.80,0
66,100.94,148.08,0
67,29.18,175.22,0
68,62.53,92.93,0
69,196.79,248.35,0
70,200.06,38.90,0
71,111.70,99.44,0
72,143.43,274.35,0
73,200.58,129.79,0
74,214.30,242.33,0
75,22.84,186.13,0
76,92.91,115.00,0
77,214.79,170.51,0
78,162.13,15.40,0
79,218.02,167.01,0
80,105.92,55.72,0
