id,x,y,is_sink
1,150.00,0.00,1
2,95.62,103.38,0
3,31.74,253.01,0
4,122.13,81.63,0
5,1.41,177.95,0
6,74.11,165.41,0
7,119.39,22.27,0
8,10.98,71.42,0
9,191.76,145.29,0
10,204.27,171.93,0
11,294.63,93.35,0
12,165.94,140.26,0
13,117.99,192.19,0
14,195.39,5.14,0
15,286.97,288.39,0
16,0.88,155.34,0
17,171.77,141.30,0
18,115.53,236.24,0
19,201.65,262.35,0
20,270.73,221.93,0
21,83.22,176.53,0
22,270.49,22.96,0
23,171.13,163.70,0
24,17.50,11.58,0
25,171.57,74.41,0
26,215.57,188.65,0
27,261.57,138.71,0
28,162.13,210.69,0
29,116.91,25.09,0
30,280.23,58.78,0
31,70.42,149.78,0
32,43.00,260.54,0
33,212.90,70.86,0
34,143.75,41.76,0
35,80.49,213.07,0
36,166.52,127.37,0
37,81.18,208.84,0
38,99.67,10.99,0
39,52.24,21.05,0
40,119.25,78.42,0
41,281.42,26.49,0
42,197.92,229.93,0
43,268.23,236.26,0
44,55.09,227.20,0
45,138.30,189.23,0
46,236.64,278.78,0
47,69.13,16.89,0
48,284.31,177.79,0
49,156.34,181.49,0
50,59.54,231.23,0
51,144.56,156.58,0
52,28.11,125.30,0
53,291.05,272.87,0
54,173.17,227.03,0
55,183.86,187.61,0
56,101.55,116.82,0
57,119.37,71.05,0
58,70.88,204.02,0
59,254.48,259.66,0
60,148.58,1.91,0
61,16.17,131.01,0
62,193.41,230.90,0
63,164.65,195.83,0
64,280.99,255.94,0
65,212.36,210.13,0
66,64.16,166.08,0
67,227.85,225.16,0
68,197.38,197.52,0
69,36.19,269.37,0
70,257.31,271.32,0
71,164.08,288.80,0
72,299.01,60.10,0
73,29.57,181.19,0
74,147.91,266.10,0
75,140.34,226.65,0
76,132.80,128.09,0
77,49.25,37.57,0
78,135.04,149.86,0
79,112.14,17.52,0
80,265.25,9.40,0
